Plot,Edad,Sp,AB
1,30,ACCO,1.866121941
1,31,ACCO,1.905788278
1,32,ACCO,1.658942544
1,33,ACCO,1.034074857
1,34,ACCO,1.079333426
1,35,ACCO,0.602125502
1,36,ACCO,0.553023391
1,37,ACCO,0
1,38,ACCO,0
1,39,ACCO,0
2,23,ACCO,2.233682194
2,24,ACCO,1.866606728
2,25,ACCO,1.011357215
2,26,ACCO,1.0265154
2,27,ACCO,1.053140397
2,28,ACCO,1.258571104
2,29,ACCO,1.323906414
2,30,ACCO,1.15905134
2,31,ACCO,0.554569643
2,32,ACCO,0.057255526
2,33,ACCO,0
3,40,ACCO,0.057255526
3,41,ACCO,0.057255526
3,42,ACCO,0.057255526
3,43,ACCO,0
3,44,ACCO,0
3,45,ACCO,0
3,46,ACCO,0
3,47,ACCO,0
3,48,ACCO,0
3,49,ACCO,0
3,50,ACCO,0
4,10,ACCO,0
4,11,ACCO,0
4,12,ACCO,0
4,13,ACCO,0
4,14,ACCO,0
4,15,ACCO,0
4,16,ACCO,0
4,17,ACCO,0
4,18,ACCO,0
4,19,ACCO,0
6,18,ACCO,0.039112829
6,19,ACCO,0.044453536
6,20,ACCO,0.105326802
6,21,ACCO,0.123116071
6,22,ACCO,0.142412322
6,23,ACCO,0.199550038
6,24,ACCO,0.299177795
6,25,ACCO,0.068349275
6,26,ACCO,0.082957681
6,27,ACCO,0
8,2,ACCO,0
8,3,ACCO,0
8,4,ACCO,0
8,5,ACCO,0
8,6,ACCO,0.329062196
8,7,ACCO,0.465112007
8,8,ACCO,0.548266823
8,9,ACCO,0.65205719
8,10,ACCO,0.666979755
9,36,ACCO,0.216966243
9,37,ACCO,0.216966243
9,38,ACCO,0.221678632
9,39,ACCO,0.233282889
9,40,ACCO,0.240528188
9,41,ACCO,0.271747765
9,42,ACCO,0.251425587
9,43,ACCO,0.303163691
9,44,ACCO,0.284824644
9,45,ACCO,0.274967897
9,46,ACCO,0
10,5,ACCO,0
10,6,ACCO,0
10,7,ACCO,0.040369466
10,8,ACCO,0.0428042
10,9,ACCO,0.030198559
10,10,ACCO,0.055144769
10,11,ACCO,0.108857756
10,12,ACCO,0.09292242
10,13,ACCO,0.101316363
10,14,ACCO,0.110662601
11,3,ACCO,0
11,4,ACCO,0
11,5,ACCO,0.024543693
11,6,ACCO,0.030787608
11,7,ACCO,0.05972953
11,8,ACCO,0.084911359
11,9,ACCO,0.051070516
11,10,ACCO,0.076762657
12,9,ACCO,0.022619467
12,10,ACCO,0.194508764
12,11,ACCO,0.390755221
12,12,ACCO,0.537879932
12,13,ACCO,0.412753835
12,14,ACCO,0.641179426
12,15,ACCO,0.771723596
12,16,ACCO,1.078593581
12,17,ACCO,1.37208745
12,18,ACCO,1.461602381
12,19,ACCO,1.529209494
13,16,ACCO,0.090792028
13,17,ACCO,0.147281791
13,18,ACCO,0.171732217
13,19,ACCO,0.153466801
13,20,ACCO,0.196840415
13,21,ACCO,0.23954644
13,22,ACCO,0.34410257
13,23,ACCO,0.445909807
13,24,ACCO,0.474753555
13,25,ACCO,0.548777332
14,2,ACCO,0
14,3,ACCO,0.012271846
14,4,ACCO,0.02552544
14,5,ACCO,0.064860254
14,6,ACCO,0.052800748
14,7,ACCO,0.236640467
14,8,ACCO,0.380741395
14,9,ACCO,0.848976145
14,10,ACCO,1.692317058
15,7,ACCO,0.715124663
15,8,ACCO,0.728260447
15,9,ACCO,0.504628137
15,10,ACCO,0.530605182
15,11,ACCO,0.529770696
15,12,ACCO,0.648895963
15,13,ACCO,0.59081891
15,14,ACCO,1.003758488
15,15,ACCO,1.4945538
15,16,ACCO,1.802802944
16,62,ACCO,0
16,63,ACCO,0
16,64,ACCO,0
16,65,ACCO,0
16,66,ACCO,0
16,67,ACCO,0
16,68,ACCO,0
16,69,ACCO,0
16,70,ACCO,0
17,56,ACCO,0.542449968
17,57,ACCO,0.510813148
17,58,ACCO,0
17,59,ACCO,0
17,60,ACCO,0
17,61,ACCO,0
17,62,ACCO,0
17,63,ACCO,0
1,30,ACFA,0
1,31,ACFA,0
1,32,ACFA,0
1,33,ACFA,0
1,34,ACFA,0
1,35,ACFA,0
1,36,ACFA,0
1,37,ACFA,0
1,38,ACFA,0
1,39,ACFA,0
2,23,ACFA,0
2,24,ACFA,0
2,25,ACFA,0
2,26,ACFA,0
2,27,ACFA,0
2,28,ACFA,0
2,29,ACFA,0
2,30,ACFA,0
2,31,ACFA,0
2,32,ACFA,0
2,33,ACFA,0
3,40,ACFA,0
3,41,ACFA,0
3,42,ACFA,0
3,43,ACFA,0
3,44,ACFA,0
3,45,ACFA,0
3,46,ACFA,0
3,47,ACFA,0
3,48,ACFA,0
3,49,ACFA,0
3,50,ACFA,0
4,10,ACFA,0
4,11,ACFA,0
4,12,ACFA,0
4,13,ACFA,0
